event_type,crowd_size,duration_hours,risk_level,impact_score
vehicle_breakdown,102,0.8238099040622894,Low,6.93
vehicle_breakdown,122,0.9844767474223608,Low,7.11
others,1161,1.884800363514445,Low,7.05
tree_fall,894,2.360768123903392,Medium,12.25
vehicle_breakdown,106,0.9420948826746228,Low,3.05
accident,628,2.039433322906599,Low,8.67
vehicle_breakdown,108,0.8667890002916498,Low,2.97
others,1081,2.3847775671293476,Low,7.47
public_event,3642,5.130922595305623,High,20.77
vehicle_breakdown,79,0.81731444949401,Low,2.9
water_logging,795,3.366969417028491,Medium,12.16
vehicle_breakdown,73,1.0556498305842767,Low,7.13
water_logging,742,4.7014021947145705,Medium,13.44
others,1209,2.3090337165195747,Medium,11.52
pot_holes,106,1.050238778606925,Low,7.16
others,1045,2.3111863510052486,Medium,11.36
others,1071,1.8558153112772766,Medium,10.93
others,841,2.1065788670464864,Medium,10.95
tree_fall,993,2.339114421531491,Low,7.33
vehicle_breakdown,110,0.8398437928903123,Low,6.95
vehicle_breakdown,89,0.9411740802546775,Low,7.03
tree_fall,721,2.3236710156809757,Medium,12.04
pot_holes,127,1.0259046034027985,Low,3.15
pot_holes,83,0.8040229608783944,Low,2.89
water_logging,516,3.7892394382745125,Low,8.31
tree_fall,1131,1.9824937037423787,Medium,12.11
pot_holes,101,0.8323892428304447,Low,6.93
vehicle_breakdown,125,0.8128024496966249,Low,6.94
pot_holes,106,1.0108740255684452,Low,3.12
pot_holes,128,0.9646682553317283,Low,3.09
pot_holes,115,0.9647626681011149,Low,3.08
vehicle_breakdown,104,0.9213553403246021,Medium,12.03
vehicle_breakdown,73,1.068552614511459,Low,7.14
tree_fall,737,1.9778580649675084,Low,6.71
congestion,1420,1.982654083777408,Medium,13.4
pot_holes,70,1.1360849283853447,Low,3.21
vehicle_breakdown,124,1.060127951125009,Low,7.18
accident,585,2.054692900428596,Low,8.64
vehicle_breakdown,124,1.1060276673544345,Low,7.23
pot_holes,101,1.088306742515574,Low,3.19
construction,513,5.64675468104202,Medium,14.16
others,1139,1.9351216831387497,High,16.07
vehicle_breakdown,96,1.1127979337786877,Low,7.21
vehicle_breakdown,93,0.9275055067505985,Low,3.02
vehicle_breakdown,96,0.984579789238702,Low,3.08
construction,482,4.852135262853392,Medium,14.33
vehicle_breakdown,72,0.9121860754074077,Low,6.98
others,933,2.1362540034966195,Medium,11.07
tree_fall,887,1.7276291272548694,Medium,10.61
vehicle_breakdown,75,1.1518015299978108,Low,7.23
congestion,1158,2.1090260899369224,Medium,13.27
vehicle_breakdown,108,0.887753995956888,Low,7.0
construction,639,5.437681072192549,Medium,14.08
vehicle_breakdown,124,1.0104861061713335,Low,7.13
vehicle_breakdown,94,1.0316399194658503,Low,7.13
road_conditions,1076,2.095223217320389,Low,7.17
vehicle_breakdown,81,1.0778828669124074,Low,8.16
vehicle_breakdown,84,0.836416818002037,Low,2.92
tree_fall,1186,2.2507233722556648,Medium,11.44
tree_fall,945,2.2334897069274193,Medium,11.18
tree_fall,701,2.13348419412175,Medium,10.83
vehicle_breakdown,108,1.044222541782046,Low,7.15
tree_fall,1209,2.1620258154345295,Medium,12.37
vehicle_breakdown,91,0.8899110225614537,Low,2.98
vehicle_breakdown,108,0.9397795673376754,Low,3.05
pot_holes,74,1.1208236564875507,Low,7.19
tree_fall,788,2.164659866811431,Low,6.95
pot_holes,110,0.8988594347642739,Low,7.01
pot_holes,121,1.0044469465252819,Low,7.13
vehicle_breakdown,79,0.905704688563602,Low,6.98
vehicle_breakdown,95,1.1506370967911508,Low,7.25
vehicle_breakdown,80,1.0088346684574168,Low,3.09
pot_holes,115,0.9261246276683539,Low,7.04
others,782,1.7720903433975883,Low,6.55
vehicle_breakdown,121,1.1926520194888486,Low,3.31
vehicle_breakdown,108,1.0287838927831177,Low,3.14
pot_holes,88,1.077832738144839,Low,3.17
vehicle_breakdown,98,0.9451049952583828,Medium,12.04
vehicle_breakdown,124,1.1130619311687433,Low,3.24
vehicle_breakdown,76,0.8256541699508099,Low,2.9
others,801,2.3298172037249785,Low,7.13
tree_fall,741,1.884164103666199,Low,6.63
construction,560,7.058610159497295,Medium,15.62
others,1095,2.106249257955454,High,16.2
others,1233,2.328225321278898,Low,7.56
pot_holes,110,1.1343808150954622,Low,3.24
vehicle_breakdown,126,1.0947183647037604,Low,3.22
vehicle_breakdown,95,0.9437535767103957,Low,7.04
vehicle_breakdown,122,0.9028651095847721,Low,7.02
vehicle_breakdown,101,1.047077152091569,Low,3.15
water_logging,871,3.262442750356883,Medium,12.13
vehicle_breakdown,103,1.0492815906765736,Low,7.15
vehicle_breakdown,125,1.0485889050487462,Low,7.17
vehicle_breakdown,88,1.163417595570587,Low,7.25
vehicle_breakdown,109,1.110000369488056,Low,7.22
tree_fall,753,2.098712123354922,Low,6.85
tree_fall,1148,1.8749410236501212,Medium,12.02
others,1183,2.192765917154749,Medium,11.38
tree_fall,940,1.6066504169177462,Medium,11.55
tree_fall,919,2.3087303457023878,Medium,12.23
tree_fall,937,1.9410050567707693,High,15.88
vehicle_breakdown,122,0.8169509707376087,Low,6.94
vehicle_breakdown,95,1.0000568088116313,Low,3.1
pot_holes,91,0.8148571863125272,Low,6.91
pot_holes,95,0.8732673851431714,Low,6.97
water_logging,894,3.435160296316417,Medium,12.33
pot_holes,113,1.0390500517384307,Low,7.15
vehicle_breakdown,99,1.1328957091002512,Low,7.23
others,1292,2.3819729586838365,Low,7.67
tree_fall,1297,1.6713655770860238,Medium,10.97
tree_fall,776,1.8046693506624054,Low,6.58
vehicle_breakdown,75,0.8875899438871787,Low,2.96
pot_holes,96,1.016788468394666,Low,7.11
construction,353,5.5262221454510945,Medium,13.88
vehicle_breakdown,94,1.1717869270959695,Low,8.27
water_logging,907,3.284720393900231,Medium,12.19
pot_holes,92,1.1453577949730132,Low,3.24
vehicle_breakdown,92,1.053063307496147,Low,7.15
congestion,1138,1.900464006609696,Medium,13.04
vehicle_breakdown,84,1.1752521427709623,Low,7.26
vehicle_breakdown,115,1.062195629021575,Low,7.18
vehicle_breakdown,79,1.0981033775797087,Low,7.18
tree_fall,743,2.2206062748809297,Medium,11.96
vehicle_breakdown,108,0.8968746222425159,Low,7.0
vehicle_breakdown,83,1.183899811999677,Low,7.27
construction,553,5.989563075600856,Low,10.54
accident,788,2.09455095210633,Low,8.88
accident,617,2.2739509060306142,Medium,12.89
vehicle_breakdown,99,1.0345418572143943,Low,7.13
others,715,2.3162572685322527,Low,7.03
pot_holes,91,1.0825176006728405,Low,3.17
vehicle_breakdown,103,1.1894228788422916,Low,7.29
vehicle_breakdown,96,0.8748421259385143,Low,6.97
accident,747,1.6637644557047713,Medium,12.41
vehicle_breakdown,81,1.194373578941856,Medium,12.28
others,750,2.107999309752182,Medium,10.86
vehicle_breakdown,81,1.1843147197779813,Low,7.27
vehicle_breakdown,74,1.1612859792742376,Low,7.24
pot_holes,76,0.8768378947898455,Low,7.95
construction,532,5.546388751428539,Medium,14.08
vehicle_breakdown,104,0.8030794462621373,Low,2.91
others,1259,1.799435080652442,Low,7.06
water_logging,521,3.443309518157588,Medium,11.96
vehicle_breakdown,120,1.1873987118108436,Medium,12.31
tree_fall,956,2.145590603299063,High,16.1
road_conditions,709,2.1587544232755818,Medium,10.87
vehicle_breakdown,97,1.0340445368724112,Low,3.13
road_conditions,873,1.805446168014727,Medium,10.68
road_conditions,1284,2.0873894596516354,Medium,11.37
vehicle_breakdown,118,0.8988580109677785,Low,7.02
vehicle_breakdown,74,0.9120653498775749,Low,6.99
tree_fall,832,1.7301716339130546,Medium,11.56
vehicle_breakdown,120,1.004371667753173,Low,7.12
road_conditions,877,1.9589726236484504,Medium,10.84
road_conditions,1218,1.6906142456154596,Medium,10.91
vehicle_breakdown,116,0.9869629468463159,Low,3.1
vehicle_breakdown,96,1.0325276401239771,Low,7.13
vehicle_breakdown,78,0.9007752678401474,Low,6.98
construction,440,6.564883611849936,Medium,15.0
water_logging,900,3.6958749536740196,Medium,12.6
vehicle_breakdown,110,1.187153566615323,Low,3.3
others,1163,2.3550423206663185,Low,7.52
others,837,2.189144413094639,Medium,11.03
tree_fall,723,2.273926934247303,Medium,12.0
pot_holes,75,1.1775922211578562,Low,3.25
vehicle_breakdown,92,0.9340840463687549,Low,3.03
construction,489,4.985797706497089,Medium,13.47
vehicle_breakdown,100,1.176512800524755,Low,7.28
pot_holes,125,0.9953478744747934,Low,3.12
pot_holes,85,1.0914353290706011,Low,7.18
vehicle_breakdown,87,1.0833500158942282,Low,7.17
vehicle_breakdown,124,1.0117477110394058,Low,3.14
vehicle_breakdown,77,0.9417520004767124,Low,7.02
vehicle_breakdown,115,0.8868869071166702,Low,7.0
tree_fall,1055,1.9453354365634912,Low,7.0
vehicle_breakdown,127,1.17603735109711,Low,7.3
vehicle_breakdown,92,1.1698077556187605,Low,7.26
vehicle_breakdown,114,1.0178071448056136,Low,7.13
vehicle_breakdown,78,1.0666925372469083,Low,7.14
vehicle_breakdown,95,1.1035821061108813,Low,7.2
vehicle_breakdown,85,0.9743667435478528,Low,3.06
vehicle_breakdown,109,0.8695811694845588,Low,2.98
vehicle_breakdown,103,0.9368539153292169,Low,7.04
vehicle_breakdown,111,1.0440684068646569,Low,7.16
vehicle_breakdown,92,0.8719909731290121,Low,6.96
vehicle_breakdown,117,1.086312937644116,Low,7.2
vehicle_breakdown,98,0.8587119195544491,Medium,11.96
vehicle_breakdown,88,1.0596005914990203,Low,3.15
vehicle_breakdown,101,1.1134243968696749,Low,7.21
vehicle_breakdown,92,0.9641946147727055,Low,7.06
vehicle_breakdown,78,1.0918682503321095,Low,7.17
vehicle_breakdown,121,1.1479616089029996,Low,7.27
construction,460,6.41865244808256,Low,10.88
road_conditions,896,1.7654334153661138,Medium,10.66
vehicle_breakdown,76,0.9391646987769154,Low,7.02
road_conditions,955,2.368557882838597,Medium,11.32
vehicle_breakdown,105,0.985040315843213,Low,3.09
vehicle_breakdown,78,1.1517491036806293,Low,7.23
vehicle_breakdown,122,0.9187731044268542,Low,3.04
construction,367,5.5040002607782945,Medium,13.87
vehicle_breakdown,106,0.8027630772570706,Low,6.91
road_conditions,829,1.9846500833139118,Medium,10.81
others,1019,1.915153584172751,Medium,10.93
vehicle_breakdown,126,0.8096061149427023,Low,2.94
vehicle_breakdown,97,0.9720108706840083,Low,7.07
vehicle_breakdown,70,0.9889631687974938,Low,7.06
vehicle_breakdown,123,1.0168868072875599,Low,7.14
congestion,917,1.8646127352890736,Medium,12.78
vehicle_breakdown,88,1.0235458448091117,Low,3.11
others,1082,2.081711370569147,Medium,11.16
vehicle_breakdown,128,0.8896625262721206,Low,7.02
vehicle_breakdown,110,0.9149274048039833,Low,7.02
vehicle_breakdown,73,0.8679899309060323,Low,2.94
vehicle_breakdown,100,0.8329847002887494,Low,6.93
vehicle_breakdown,80,0.9000035333422549,Low,6.98
pot_holes,80,1.0528684639480947,Low,3.13
construction,399,4.843616933918836,Low,9.24
vehicle_breakdown,111,0.8001061473416884,Low,6.91
others,1295,2.3261578307897914,Low,7.62
vehicle_breakdown,75,1.1151221383651384,Low,3.19
construction,468,6.0523837110278045,Low,10.52
congestion,847,2.322080857814126,Medium,13.17
pot_holes,72,1.036688595899142,Low,3.11
pot_holes,116,1.0335388968187256,Low,3.15
vehicle_breakdown,128,1.0692412495360837,Low,7.2
vehicle_breakdown,104,1.0451714125906288,Low,7.15
others,842,1.97024365372565,Medium,10.81
pot_holes,129,0.9482316454745594,Low,3.08
vehicle_breakdown,108,0.9440870728648856,Low,3.05
construction,444,6.892631775218144,High,20.34
vehicle_breakdown,97,0.8889128576884268,Low,2.99
vehicle_breakdown,116,1.021783877844909,Low,3.14
vehicle_breakdown,120,0.9378515259533947,Low,7.06
vehicle_breakdown,76,1.189837188602905,Low,7.27
vehicle_breakdown,81,0.8491575478717426,Low,6.93
construction,580,6.8784030921833965,Medium,15.46
pot_holes,91,1.1912431831343255,Low,3.28
pot_holes,129,1.0519619111199516,Low,3.18
pot_holes,93,1.0468104518855055,Low,3.14
pot_holes,117,0.820097998061287,Low,2.94
pot_holes,75,0.9333142380221248,Low,3.01
vip_movement,3517,3.19080974764128,High,20.71
pot_holes,110,0.895868860047329,Low,3.01
tree_fall,1242,2.1228419250026587,Medium,12.36
tree_fall,1095,2.3799190722321883,Low,7.47
vehicle_breakdown,100,0.9349582828702547,Low,7.03
tree_fall,1186,1.7968638485903228,Low,6.98
congestion,1114,1.9253181172590452,Medium,13.04
vehicle_breakdown,81,1.1085279770550163,Low,7.19
vehicle_breakdown,97,1.11560467902862,Low,7.21
vehicle_breakdown,128,0.9693096482684352,Low,7.1
